企業名,順位,カテゴリー,年収,設立,従業員数,資本金
株式会社コプロテクノロジー,7,インフラ系エンジニア,400～1000万円,2006年6月6日,エンジニア361名（フリーランス含む）※2024年3月時点,"35,000千円"
株式会社ＮＴＴデータビジネスシステムズ,8,インフラ系エンジニア,350～700万円,2011年4月1日,1191名（2020年4月1日現在）,1億円（NTTデータ100%）
アクティブ・アイティ株式会社,9,インフラ系エンジニア,300～600万円,2005年6月,61名（2024年10月）,"2,100万円"
株式会社ワールドクラフト,10,インフラ系エンジニア,400～900万円,2006年,情報なし,"1,982万円"
SBIグループ合同募集（SBIホールディングス株式会社、SBIネオバンキングシステム株式会社）,11,インフラ系エンジニア,700～1200万円,情報なし,情報なし,情報なし
株式会社エス・エム・エス・データテック,12,インフラ系エンジニア,350～800万円,2001年6月,563名（2024年5月1日付）,"3,250万円"
株式会社セキュアイノベーション,13,インフラ系エンジニア,350～850万円,2015年(平成27年)10月21日,92名（2024年11月時点）,"1億2,100万円（資本金1億100万円、資本準備金2,000万円）"
株式会社ＮＴＴ東日本－南関東,14,インフラ系エンジニア,250～600万円,1998年2月25日（株式会社NTT東日本-南関東）,"6,934人※2024年3月31日時点​","5,000万円※東日本電信電話株式会社100％出資（株式会社NTT東日本-南関東）"
株式会社エンジニアファースト,15,インフラ系エンジニア,550～1350万円,2023年1月,35名,100万円
株式会社ストライクシステム,16,インフラ系エンジニア,550～900万円,2021年1月4日,180名（グループ合計／2024年10月時点）,"1,000,000円"
株式会社日本キャスト,17,インフラ系エンジニア,400～900万円,1991年7月,118名　うち技術職114名（2024年4月現在）,"6,000万円"
株式会社テクノプロ　テクノプロ・IT社【東証プライム上場グループ】,18,インフラ系エンジニア,350～800万円,1995年8月,"6,593人（2024年6月末現在）",情報なし
株式会社Harvest Biz Career,19,インフラ系エンジニア,350～750万円,2010年3月29日,1634名（派遣スタッフ含む）,2000万円
株式会社ヒューマンキュレーション,20,インフラ系エンジニア,350～800万円,2022年(令和4年)12月16日,82名,1000万円
株式会社SPIN TECHNOLOGY,1,その他ITエンジニア,300～700万円,2021年9月1日,230名（正社員）,"40,000,000円"
株式会社リクルートR&Dスタッフィング【リクルートグループ】,2,その他ITエンジニア,300～600万円,2006年2月1日,"1,884名（令和3年3月末現在）",2億2500万円(株式会社リクルートHDのグループ企業)
株式会社リクルートR&Dスタッフィング【リクルートグループ】,3,その他ITエンジニア,300～600万円,2006年2月1日,"1,884名（令和3年3月末現在）",2億2500万円(株式会社リクルートHDのグループ企業)
H.R.I 株式会社,4,その他ITエンジニア,300～350万円,2016年12月,405名（2024年4月時点）,"2,000万円"
株式会社レゾナント・コミュニケーションズ,5,その他ITエンジニア,450～600万円,2009年7月,33名,1000万円
